Desde: 01/08/2025 Hasta: 30/08/2025;;;;;
Sucursales: PASADENA;;;;;
Turnos: ALMUERZO, CENA, NOCHE;;;;;
FAMILIA;CODIGO;ARTICULO;CANTIDAD;IMPORTE;SUBFAMI
BEBIDAS CON ALCOHOL;257;STELLA ARTOIS;10;69000;OTROS
BEBIDAS CON ALCOHOL;258;QUILMES;23;144900;OTROS
BEBIDAS CON ALCOHOL;259;PORRON CORONA;9;56700;OTROS
BEBIDAS CON ALCOHOL;613;COPA LOPEZ;124;533200;OTROS
BEBIDAS CON ALCOHOL;616;LOPEZ GRANDE;8;96000;OTROS
BEBIDAS CON ALCOHOL;636;TRUMPETER;1;22000;OTROS
BEBIDAS CON ALCOHOL;1511;FERNET COLA ;4;30000;OTROS
BEBIDAS CON ALCOHOL;1512;APEROL SPRITZ ;2;16000;OTROS
BEBIDAS CON ALCOHOL;1515;MEDIDA DE FER/APER/GAN/;3;15000;OTROS
BEBIDAS SIN ALCOHOL;200;GASEOSA Y AGUAS;701;2804000;BEBIDAS
BEBIDAS SIN ALCOHOL;201;JUGO EXPRIMIDO;92;478400;BEBIDAS
BEBIDAS SIN ALCOHOL;202;VASO LIMONADA MENTA Y JENG;35;140000;BEBIDAS
BEBIDAS SIN ALCOHOL;203;JARRA 500 ML LIMON MENTA JENG;7;32900;BEBIDAS
BEBIDAS SIN ALCOHOL;204;JARRA 1 L LIMONADA MENTA Y JENG;3;22500;BEBIDAS
BEBIDAS SIN ALCOHOL;205;VASO LIMONADA FRUTOS ROJOS O MARACUYA;17;71400;BEBIDAS
BEBIDAS SIN ALCOHOL;206;JARRA 500 LIMONADA FRUTOS ROJOS O MARACUYA;2;10400;BEBIDAS
BEBIDAS SIN ALCOHOL;207;JARRA 1 L  LIMONADA FRUTOS ROJOS O MARACUYA;3;23700;BEBIDAS
CAFES ESPECIALES;150;CAPUCCINO;52;275600;CAFETERIA
CAFES ESPECIALES;151;CAPUCCINO HAZEINUT;9;50400;CAFETERIA
CAFES ESPECIALES;152;CAPUCCINO ITALIANO;17;95200;CAFETERIA
CAFES ESPECIALES;153;MOCACCINO;8;42400;CAFETERIA
CAFETERIA;1;CAFE/RISTRET/CORTADO/LAG;614;1903400;CAFETERIA
CAFETERIA;2;JARRITO;900;3330000;CAFETERIA
CAFETERIA;3;JARRITO ESPECIAL;14;53200;CAFETERIA
CAFETERIA;4;LONG BLACK/DOBLE;146;715400;CAFETERIA
CAFETERIA;5;CAFE CON LECHE/LATTE;271;1327900;CAFETERIA
CAFETERIA;6;SUBMARINO;33;188100;CAFETERIA
CAFETERIA;7;CHOCOLATADA;16;88000;CAFETERIA
CAFETERIA;20;CREMA CHICA;32;25600;CAFETERIA
CAFETERIA;21;CREMA GRANDE;19;19000;CAFETERIA
CAFETERIA;22;LECHE ALMENDRAS CHICA;10;8000;CAFETERIA
CAFETERIA;23;LECHE ALMENDRAS GRANDES;32;44800;CAFETERIA
CAFETERIA;155;LATTE SABORIZADOS;22;112200;CAFETERIA
CAFETERIA;600;TAKE AWAY MEDIANO;82;302100;CAFETERIA
CAFETERIA;601;TAKE AWAY GRANDE;103;504700;CAFETERIA
CAFETERIA;1101;AGUA MATE;1;500;CAFETERIA
COCINA;407;ENS MIXTA PORCION;6;65400;COCINA
COCINA;500;BIFE DE CHORIZO C/GUARNICION;23;540500;COCINA
COCINA;501;MEDIO BIFE DE CHORIZO C/GUARNICION ;7;119000;COCINA
COCINA;503;CUARTO DE POLLO GRILLE C/ENS MIXTA;67;1005000;COCINA
COCINA;505;RAVIOLES EN SALSA ROSA;13;188500;COCINA
COCINA;507;RAVIOLES C/BOLOGNESA;7;104300;COCINA
COCINA;508;SORRENTINOS  C/SALSA VERDE;4;62000;COCINA
COCINA;509;SORRENTINOS C/ ROSA;7;111300;COCINA
COCINA;510;CREPE CALABAZA Y MUZZA SALSA DE QUESOS;10;169000;COCINA
COCINA;511;CUARTO DE POLLO CREMA VERDEO C/PURE CALABAZA;8;127200;COCINA
COCINA;512;CUARTO DE POLLO AL CHAMPIGNON C/FRITAS;7;118300;COCINA
COCINA;513;OMELETTE ESPINACA, CRUDO, Y CEBOLLA C/MIX DE VERDES;18;234000;COCINA
COCINA;516;MATAMBRITO A LA PIZZA C/ESPAÑOLAS;10;179000;COCINA
COCINA;517;MATAMBRITO AL ROQUEFORT C/FRITAS;2;35800;COCINA
COCINA;518;REVUELTO DE GRAMAJO ;13;206700;COCINA
COCINA;519;OMELETTE JYQ C/ENS MIXTA;17;204000;COCINA
COCINA;523;MILA PECETO C/PURE CALABAZA;19;302100;COCINA
COCINA;524;MILA DE PECETO NAPOLITANA C/FRITAS;3;55500;COCINA
COCINA;525;MILA DE TERNERA C/FRITAS;42;546000;COCINA
COCINA;526;MILA DE TERNERA A CABALLO C/FRITAS;2;30000;COCINA
COCINA;527;MILA DE TERNERA NAPOLITANA C/FRITAS;23;379500;COCINA
COCINA;528;SUP DE POLLO CON FRITAS;35;525000;COCINA
COCINA;529;SUP NAPOLITANA C/FRITAS;9;162000;COCINA
COCINA;530;SUP A LA SUIZA C/ESPAÑOLAS;6;108000;COCINA
COCINA;531;SUP AL ROQUEFORT C/ESPAÑOLAS;2;37800;COCINA
COCINA;532;GUARNI FRITAS/ESPAÑOLAS;2;13800;COCINA
COCINA;533;GUARNI PURE PAPA/CALABAZA;2;13800;COCINA
COCINA;534;GUARNI ENS MIXTA;1;6900;COCINA
COCINA;535;HAMBURGUESA AL PLATO C/FRITAS;2;27000;COCINA
COCINA;536;HAMBURGUESA JYQ C/FRITAS;8;124000;COCINA
COCINA;537;HAMBURGUESA CHEDDAR, PANCETA C/FRITAS;10;155000;COCINA
COCINA;538;HAMBURGUESA COMPLETA ;2,7;47250;COCINA
COCINA;539;LOMITO AL PLATO C/ FRITAS;18;324000;COCINA
COCINA;540;LOMITO JYQ C/FRITAS;5;100000;COCINA
COCINA;541;LOMITO CHEDDAR, PANCETA C/FRITAS;2;44000;COCINA
COCINA;542;LOMITO COMPLETO;2;46000;COCINA
COCINA;543;FILET A LA ROMANA C/PURE ;34;510000;COCINA
COCINA;545;TORTILLA PAPA Y CEBOLLA;32;336000;COCINA
COCINA;546;TORTILLA A LA ESPAÑOLA;8;84000;COCINA
COCINA;548;EMPANADAS;392;901600;COCINA
COCINA;556;SPAGHETTIS FILETO/BOLO;9;134100;COCINA
COCINA;557;RABAS;0;0;COCINA
COCINA;560;TARTA DE ESPINACA C/ENS MIXTA;46;322000;COCINA
COCINA;561;TARTA ESPECIALES C/ENS ;24;180000;COCINA
COCINA;566;GAMBAS AL AJILLO;8;167200;COCINA
COCINA;567;BIFECITOS DE LOMO, PIMIENTA CON PURE;6;156000;COCINA
COCINA;568;BIFECITOS DE LOMO, MOSTAZA C/ESPAÑOLAS;1;26000;COCINA
COCINA;569;FILET A LA CREMA DE LIMON ;5;79500;COCINA
COCINA;569;FILET DE MERLUZA A LA CREMA DE LIMON ;3;47700;COCINA
COCINA;701;PORCION DE PURE/FRITAS/ENS;13;169000;COCINA
COCINA;702;GUARNICION ESPINACA CREMA;4;39600;COCINA
CONSULADO;921;CONS CAFE C/LECHE C/2 ME;22;77000;OTROS
CONSULADO;922;CONS CAFE CON LECHE;7;21000;OTROS
CONSULADO;924;CONS GUSTAVO;16;40000;OTROS
CROISSANT;176;CROISSANT SOLO;41;168100;CAFETERIA
CROISSANT;177;CROISSANT JAMON Y QUESO;27;175500;CAFETERIA
CROISSANT;178;CROISSANT PASTELERA;3;17700;CAFETERIA
CROISSANT;179;CROISSANT DDL Y NUECES;2;11800;CAFETERIA
CROISSANT;180;CROISSANT CRUDO RUCULA Y TOMATE;1;7500;CAFETERIA
CROISSANT;181;CROISSANT SOL DE LA MAÑANA;2;14600;CAFETERIA
CROISSANT;183;CROISSANT MAÑANA SABROSA;6;47400;CAFETERIA
DESAYUNOS Y MERIENDAS;130;TRADICIONAL ;349;2059100;CAFETERIA
DESAYUNOS Y MERIENDAS;131;CLASICO;79;608300;CAFETERIA
DESAYUNOS Y MERIENDAS;132;BIO;3;42000;CAFETERIA
DESAYUNOS Y MERIENDAS;133;DE LA HUERTA;9;103500;CAFETERIA
DESAYUNOS Y MERIENDAS;134;SUPER CLASICO;33;280500;CAFETERIA
DESAYUNOS Y MERIENDAS;135;DE MIGA;67;649900;CAFETERIA
DESAYUNOS Y MERIENDAS;136;ARABE;49;534100;CAFETERIA
DESAYUNOS Y MERIENDAS;137;AVOCADO TOAST CLASICO + INFUSIÓN;48;619200;CAFETERIA
DESAYUNOS Y MERIENDAS;138;TURISTA;31;337900;CAFETERIA
DESAYUNOS Y MERIENDAS;140;UN PASO MÁS+ INFUSION;19;165300;CAFETERIA
DESAYUNOS Y MERIENDAS;141;HUEVOS REVUELTOS;22;261800;CAFETERIA
EN CUALQUIER MOMENTO;100;TOSTON SIMPLE;46;271400;CAFETERIA
EN CUALQUIER MOMENTO;103;TOSTON SALUDABLE;14;85400;CAFETERIA
EN CUALQUIER MOMENTO;104;TOSTON PROTEICO;24;156000;CAFETERIA
